"monthly_date","profit_margin"
"2013-06-01","23.16839679924808063600"
"2015-04-01","20.41417069899793528000"
"2015-05-01","17.45680765446777421000"
"2015-06-01","17.11750390701996897600"
"2015-10-01","19.65096721413591696200"
"2015-12-01","18.87107231684864240300"
"2016-02-01","19.74943436545266080700"
"2016-05-01","21.59907010099963913100"
"2016-06-01","18.90012624715573549900"
"2016-08-01","18.08817763534110157300"
"2016-09-01","19.90828853160784179700"
"2016-10-01","19.28657455072763313000"
"2016-11-01","24.64368635006651447400"
"2016-12-01","18.45028820770448105900"
"2017-01-01","18.26260926494199012200"
"2017-02-01","17.96658939088836601200"
"2017-03-01","20.15343959703701876100"
"2017-04-01","26.57983743118678264500"
"2017-05-01","19.79598070672276143800"
"2017-06-01","16.51573329581529154700"
"2017-08-01","25.15649544431007037200"
"2017-09-01","18.23779329286006344500"
"2017-10-01","21.63682610790405971800"
"2017-11-01","20.17496167761496821100"
